Player,#,Selections[c],Notes,Reference,,
Kareem Abdul-Jabbar*[a],19,1970–1977; 1979–1989,Missed 1973[9] game. Replacement selection in 1989 game,[10],,
Kobe Bryant*,18,1998; 2000–2016,"Missed 2010,[11] 2014,[12] and 2015[13] games. MVP of 2002, 2007, 2009 (co-MVP with Shaquille O'Neal), and 2011 games.",[14],,
LeBron James^,18,2005–2022,"Team captain in 2018,[15] 2019,[16] 2020,[17] 2021,[18] and 2022 games. MVP of 2006, 2008, and 2018 games.",[19],,
Tim Duncan*,15,1998; 2000–2011; 2013; 2015,,[20],,
Kevin Garnett*,15,1997–1998; 2000–2011; 2013,Missed 2008[21] game. Replacement selection in 1997[22] game,[23],,
Shaquille O'Neal*,15,1993–1998; 2000–2007; 2009,"Missed 1997,[24] 2001,[25] and 2002[26] games. MVP of 2000, 2004, and 2009 (co-MVP with Kobe Bryant) games.",[27],,
Michael Jordan*,14,1985–1993; 1996–1998; 2002–2003,"Missed 1986[28] game. MVP of 1988, 1996, and 1998 games.",[29],,
Karl Malone*,14,1988–1998; 2000–2002,Missed 1990[30] and 2002[26] games,[31],,
Dirk Nowitzki†,14,2002–2012; 2014–2015; 2019,Replacement selection in 2015[32] game. Special roster selection in 2019[33] game,[34],,
Jerry West*,14,1961–1974,Missed 1969[35] and 1974[36] games,[37],,
Wilt Chamberlain*,13,1960–1969; 1971–1973,,[38],,
Bob Cousy*,13,1951–1963,MVP of 1954 and 1957 games,[39],,
John Havlicek*,13,1966–1978,,[40],,
Dwyane Wade†,13,2005–2016; 2019,Missed 2015[13] game. MVP of the 2010 game. Special roster selection in 2019[33] game,[41],,
Larry Bird*,12,1980–1988; 1990–1992,Missed 1991[42] and 1992[43] games,[44],,
Kevin Durant^,12,2010–2019; 2021–2022,Missed 2021[45] and 2022 games. Team captain in 2021[18] and 2022 games. MVP of the 2012 and 2019 games.,[46],,
Elvin Hayes*,12,1969–1980,,[47],,
Magic Johnson*,12,1980; 1982–1992,Missed 1989[48] game,[49],,
Moses Malone*,12,1978–1989,Missed 1984[50] game; also a one-time ABA All-Star,[51],,
Hakeem Olajuwon*[b],12,1985–1990; 1992–1997,,[52],,
Chris Paul^,12,2008–2016; 2020–2022,Missed 2010[11] game. MVP of the 2013 game.,[53],,
Oscar Robertson*,12,1961–1972,"MVP of 1961, 1964, and 1969 games",[54],,
Bill Russell*,12,1958–1969,,[55],,
Dolph Schayes*,12,1951–1962,Missed 1952[56] game,[57],,
Isiah Thomas*,12,1982–1993,Missed 1991[42] game,[58],,
Charles Barkley*,11,1987–1997,Missed 1994[59] and 1997[24] games,[60],,
Elgin Baylor*,11,1959–1965; 1967–1970,,[61],,
Chris Bosh*,11,2006–2016,Missed 2009[62] and 2016[63] games,[64],,
Julius Erving*,11,1977–1987,Also a five-time ABA All-Star,[65],,
Patrick Ewing*,11,1986; 1988–1997,Missed 1986[28] and 1997[24] games,[66],,
Allen Iverson*,11,2000–2010,Missed 2007[67] and 2010[11] games. MVP of the 2001 and 2005 games.,[68],,
Bob Pettit*,11,1955–1965,,[69],,
Ray Allen*,10,2000–2002; 2004–2009; 2011,Replacement selection in 2008[70] and 2009[71] games,[72],,
Carmelo Anthony^,10,2007–2008; 2010–2017,Replacement selection in 2017[73] game,[74],,
Paul Arizin*,10,1951–1952; 1955–1962,Missed 1960[75] game,[76],,
Clyde Drexler*,10,1986; 1988–1994; 1996–1997,Missed 1997[24] game,[77],,
Hal Greer*,10,1961–1970,,[78],,
James Harden^,10,2013–2022,Missed 2022 game.,[79],,
Jason Kidd*,10,1996; 1998; 2000–2004; 2007–2008; 2010,Missed 2007[67] game. Replacement selection in 2010[80] game,[81],,
Paul Pierce*,10,2002–2006; 2008–2012,,[82],,
David Robinson*,10,1990–1996; 1998; 2000–2001,,[83],,
John Stockton*,10,1989–1997; 2000,,[84],,
George Gervin*,9,1977–1985,Also a three-time ABA All-Star,[85],,
Robert Parish*,9,1981–1987; 1990–1991,,[86],,
Gary Payton*,9,1994–1998; 2000–2003,Replacement selection in 1994[22] game,[87],,
Russell Westbrook^,9,2011–2013; 2015–2020,MVP of the 2015 and 2016 games.,[88],,
Lenny Wilkens*,9,1963–1965; 1967–1971; 1973,,[89],,
Dominique Wilkins*,9,1986–1994,Missed 1992[43] game,[90],,
Rick Barry*,8,1966–1967; 1973–1978,Missed 1973[9] game; also a four-time ABA All-Star,[91],,
Vince Carter†,8,2000–2007,Missed 2002[26] game,[92],,
Dave Cowens*,8,1972–1978; 1980,Missed 1977[93] and 1980[94] games,[95],,
Stephen Curry^,8,2014–2019; 2021–2022,Team captain in 2018[15] game and MVP of the 2022 game.,[96],,
Anthony Davis^,8,2014–2021,Missed 2015[13] and 2021[45][97] games. Replacement selection in 2014.[98] MVP of the 2017 game.,[99],,
Dave DeBusschere*,8,1966–1968; 1970–1974,,[100],,
Alex English*,8,1982–1989,,[101],,
Larry Foust,8,1951–1956; 1958–1959,Missed 1952[56] game,[102],,
Dwight Howard^,8,2007–2014,,[103],,
Bob Lanier*,8,1972–1975; 1977–1979; 1982,,[104],,
Dikembe Mutombo*,8,1992; 1995–1998; 2000–2002,Replacement selection in 1995 and 2001[22] games,[105],,
Steve Nash*,8,2002–2003; 2005–2008; 2010; 2012,Missed 2007[67] game,[106],,
Bill Sharman*,8,1953–1960,,[107],,
Yao Ming*,8,2003–2009; 2011,Missed 2007[67] and 2011[108] games,[109],,
LaMarcus Aldridge^,7,2012–2016; 2018–2019,,[110],,
Dave Bing*,7,1968–1969; 1971; 1973–1976,,[111],,
Walt Frazier*,7,1970–1976,,[112],,
Harry Gallatin*,7,1951–1957,,[113],,
Paul George^,7,2013–2014; 2016–2019; 2021,Replacement selection in 2018[114] game,[115],,
Grant Hill*,7,1995–1998; 2000–2001; 2005,Missed 2001[25] game,[116],,
Kyrie Irving^,7,2013–2015; 2017–2019; 2021,MVP of the 2014 game.,[117],,
Joe Johnson§,7,2007–2012; 2014,Missed 2012[118] game. Replacement in 2007 game,[119],,
Jerry Lucas*,7,1964–1969; 1971,,[120],,
Ed Macauley*,7,1951–1957,,[121],,
Slater Martin*,7,1953–1959,,[122],,
Tracy McGrady*,7,2001–2007,,[123],,
Dick McGuire*,7,1951–1952; 1954–1956; 1958–1959,,[124],,
Kevin McHale*,7,1984; 1986–1991,,[125],,
Alonzo Mourning*,7,1994–1997; 2000–2002,"Missed 1994,[59] 1997,[24] and 2001[25] games",[126],,
Scottie Pippen*,7,1990; 1992–1997,,[127],,
Willis Reed*,7,1965–1971,,[128],,
Jack Sikma*,7,1979–1985,,[129],,
Nate Thurmond*,7,1965–1968; 1970; 1973–1974,Missed 1968[130] and 1970[131] games,[132],,
Chet Walker*,7,1964; 1966–1967; 1970–1971; 1973–1974,,[133],,
Jo Jo White*,7,1971–1977,,[134],,
James Worthy*,7,1986–1992,,[135],,
Giannis Antetokounmpo^,6,2017–2022,Team captain in 2019[16] and 2020[17] games. MVP of the 2021 game.,[136],,
Nate Archibald*,6,1973; 1975–1976; 1980–1982,,[137],,
Jimmy Butler^,6,2015–2018; 2020; 2022,Missed 2016[63] game,[138],,
Larry Costello,6,1958–1962; 1965,Missed 1962[139] game,[140],,
Adrian Dantley*,6,1980–1982; 1984–1986,,[141],,
Walter Davis,6,1978–1981; 1984; 1987,,[142],,
Joe Dumars*,6,1990–1993; 1995; 1997,Replacement selection in 1997[22] game,[143],,
Pau Gasol†,6,2006; 2009–2011; 2015–2016,Replacement selection in 2016[144] game,[145],,
Artis Gilmore*,6,1978–1979; 1981–1983; 1986,Also a five-time ABA All-Star,[146],,
Blake Griffin^,6,2011–2015; 2019,Missed 2015[13] game,[147],,
Richie Guerin*,6,1958–1963,,[148],,
Tom Heinsohn*,6,1957; 1961–1965,Missed 1965[149] game,[150],,
Bailey Howell*,6,1961–1964; 1966–1967,,[151],,
Lou Hudson*,6,1969–1974,,[152],,
Neil Johnston*,6,1953–1958,,[153],,
Shawn Kemp,6,1993–1998,,[154],,
Damian Lillard^,6,2014–2015; 2018–2021,Missed 2020[155] game. Replacement selection in 2015[156] game,[157],,
Kyle Lowry^,6,2015–2020,,[158],,
Vern Mikkelsen*,6,1951–1953; 1955–1957,,[159],,
Jermaine O'Neal,6,2002–2007,Missed 2006[160] game,[161],,
Tony Parker†,6,2006–2007; 2009; 2012–2014,,[162],,
Mitch Richmond*,6,1993–1998,Missed 1993[163] game,[164],,
Amar'e Stoudemire,6,2005; 2007–2011,,[165],,
Jack Twyman*,6,1957–1960; 1962–1963,,[166],,
George Yardley*,6,1955–1960,,[167],,
Chauncey Billups,5,2006–2010,Replacement selection in 2010[168] game,[169],,
Carl Braun*,5,1953–1957,Missed 1956[170] game,[171],,
Brad Daugherty,5,1988–1989; 1991–1993,,[172],,
DeMar DeRozan^,5,2014; 2016–2018; 2022,,[173],,
Joel Embiid^,5,2018–2022,Missed 2021[45][174] game,[175],,
Wayne Embry*,5,1961–1965,Missed 1963[176] game; inducted as a contributor,[177],,
Tom Gola*,5,1960–1964,Missed 1962[139] game,[178],,
Gail Goodrich*,5,1969; 1972–1975,,[179],,
Cliff Hagan*,5,1958–1962,Missed 1958[180] game; also a one-time ABA All-Star,[181],,
Tim Hardaway*,5,1991–1993; 1997–1998,,[182],,
Al Horford^,5,2010–2011; 2015–2016; 2018,Replacement selection in 2016[183] game,[184],,
Dennis Johnson*,5,1979–1982; 1985,,[185],,
Gus Johnson*,5,1965; 1968–1971,,[186],,
Marques Johnson,5,1979–1981; 1983; 1986,,[187],,
Sam Jones*,5,1962; 1964–1966; 1968,,[188],,
Rudy LaRusso,5,1962–1963; 1966; 1968–1969,Missed 1962[139] game,[189],,
Kawhi Leonard^,5,2016–2017; 2019–2021,MVP of the 2020 game.,[190],,
Kevin Love^,5,2011–2012; 2014; 2017–2018,Missed 2017[191] and 2018[192] games. Replacement selection in 2011[193] game,[194],,
Pete Maravich*,5,1973–1974; 1977–1979,Missed 1978[195] game,[196],,
Bob McAdoo*,5,1974–1978,,[197],,
Reggie Miller*,5,1990; 1995–1996; 1998; 2000,,[198],,
Sidney Moncrief*,5,1982–1986,,[199],,
Chris Mullin*,5,1989–1993,Missed 1993[163] game,[200],,
Don Ohl,5,1963–1967,,[201],,
Andy Phillip*,5,1951–1955,,[202],,
Gene Shue,5,1958–1962,,[203],,
Klay Thompson^,5,2015–2019,,[204],,
Rudy Tomjanovich,5,1974–1977; 1979,,[205],,
Wes Unseld*,5,1969; 1971–1973; 1975,,[206],,
John Wall^,5,2014–2018,Missed 2018[192] game,[207],,
Bobby Wanzer*,5,1952–1956,,[208],,
Chris Webber*,5,1997; 2000–2003,Missed 2003[209] game. Replacement selection in 1997[22] game,[210],,
Paul Westphal*,5,1977–1981,,[211],,
Vin Baker,4,1995–1998,,[212],,
Walt Bellamy*,4,1962–1965,,[213],,
Otis Birdsong,4,1979–1981; 1984,,[214],,
Rolando Blackman,4,1985–1987; 1990,Replacement selection in 1990[22] game,[215],,
Tom Chambers,4,1987; 1989–1991,Replacement selection in 1987 game,[216],,
Maurice Cheeks*,4,1983; 1986–1988,,[217],,
Doug Collins,4,1976–1979,Missed 1979[218] game,[219],,
DeMarcus Cousins^,4,2015–2018,Missed 2018[192] game. Replacement selection in 2015[220] game,[221],,
Billy Cunningham*,4,1969–1972,Also a one-time ABA All-Star,[222],,
Bob Dandridge*,4,1973; 1975–1976; 1979,,[223],,
Bob Davies*,4,1951–1954,,[224],,
Dick Garmaker,4,1957–1960,,[225],,
Draymond Green^,4,2016–2018; 2022,Missed 2022 game.,[226],,
Johnny Green,4,1962–1963; 1965; 1971,,[227],,
Penny Hardaway,4,1995–1998,,[228],,
Connie Hawkins*,4,1970–1973,Also a one-time ABA All-Star,[229],,
Spencer Haywood*,4,1972–1975,Also a one-time ABA All-Star,[230],,
Mel Hutchins,4,1953–1954; 1956–1957,,[231],,
Nikola Jokić^,4,2019–2022,,[232],,
Bobby Jones*,4,1977–1978; 1981–1982,Also a two-time ABA All-Star,[233],,
Bernard King*,4,1982; 1984–1985; 1991,,[234],,
Bill Laimbeer,4,1983–1985; 1987,,[235],,
Clyde Lovellette*,4,1956–1957; 1960–1961,,[236],,
Maurice Lucas,4,1977–1979; 1983,Also a one-time ABA All-Star,[237],,
Shawn Marion,4,2003; 2005–2007,,[238],,
George Mikan*,4,1951–1954,,[239],,
Paul Millsap^,4,2014–2017,,[240],,
Earl Monroe*,4,1969; 1971; 1975; 1977,,[241],,
Willie Naulls,4,1958; 1960–1962,,[242],,
Jim Pollard*,4,1951–1952; 1954–1955,,[243],,
Mark Price,4,1989; 1992–1994,,[244],,
Micheal Ray Richardson,4,1980–1982; 1985,,[245],,
Arnie Risen*,4,1952–1955,Missed 1955[246] game,[247],,
Alvin Robertson,4,1986–1988; 1991,,[248],,
Guy Rodgers*,4,1963–1964; 1966–1967,,[249],,
Rajon Rondo^,4,2010–2013,Missed 2013[250] game. Replacement selection in 2012[251] game,[252],,
Ralph Sampson*,4,1984–1987,Missed 1987[253] game,[254],,
Latrell Sprewell,4,1994–1995; 1997; 2001,Replacement selection in 2001[22] game,[255],,
David Thompson*,4,1977–1979; 1983,Also a one-time ABA All-Star,[256],,
Kemba Walker^,4,2017–2020,Replacement selection in 2018[257] game,[258],,
Ben Wallace*,4,2003–2006,,[259],,
Rasheed Wallace,4,2000–2001; 2006; 2008,Replacement selection in 2008 game,[260],,
Sidney Wicks,4,1972–1975,,[261],,
Mark Aguirre,3,1984; 1987–1988,,[262],,
Gilbert Arenas,3,2005–2007,Replacement selection in 2006[263] game,[264],,
Bradley Beal^,3,2018–2019; 2021,,[265],,
Devin Booker^,3,2020–2022,Missed 2021[45][266] game. Replacement selection in 2020[267] and 2021[268] games,[269],,
Bill Bridges,3,1967–1968; 1970,,[270],,
Phil Chenier,3,1974–1975; 1977,,[271],,
Terry Dischinger,3,1963–1965,,[272],,
Luka Dončić^,3,2020–2022,,[273],,
Steve Francis,3,2002–2004,,[274],,
Marc Gasol^,3,2012; 2015; 2017,,[275],,
Rudy Gobert^,3,2020–2022,,[276],,
Richard Hamilton,3,2006–2008,,[277],,
Kevin Johnson,3,1990–1991; 1994,,[278],,
Eddie Jones,3,1997–1998; 2000,,[279],,
Bob Kauffman,3,1971–1973,,[280],,
Johnny Kerr,3,1956; 1959; 1963,,[281],,
Bob Love,3,1971–1973,,[282],,
Dan Majerle,3,1992–1993; 1995,,[283],,
George McGinnis*,3,1976–1977; 1979,Also a three-time ABA All-Star,[284],,
Khris Middleton^,3,2019–2020; 2022,,[285],,
Donovan Mitchell^,3,2020–2022,,[286],,
Jeff Mullins,3,1969–1971,,[287],,
Larry Nance,3,1985; 1989; 1993,,[288],,
Glen Rice,3,1996–1998,,[289],,
Derrick Rose^,3,2010–2012,,[290],,
Dan Roundfield,3,1980–1982,Missed 1981[291] and 1982[292] games,[293],,
Brandon Roy,3,2008–2010,Missed 2010[11] game,[294],,
Detlef Schrempf,3,1993; 1995; 1997,Replacement selection in 1997[22] game,[295],,
Charlie Scott*,3,1973–1975,Also a two-time ABA All-Star,[296],,
Paul Seymour,3,1953–1955,,[297],,
Ben Simmons^,3,2019–2021,Missed 2021[45][174] game,[298],,
Peja Stojaković,3,2002–2004,Replacement selection in 2003[299] game,[300],,
Maurice Stokes*,3,1956–1958,,[301],,
Jayson Tatum^,3,2020–2022,,[302],,
Karl-Anthony Towns^,3,2018–2019; 2022,,[303],,
Dick Van Arsdale,3,1969–1971,,[304],,
Tom Van Arsdale,3,1970–1972,,[305],,
Norm Van Lier,3,1974; 1976–1977,,[306],,
Antoine Walker,3,1998; 2002–2003,,[307],,
Jamaal Wilkes*,3,1976; 1981; 1983,,[308],,
Buck Williams,3,1982–1983; 1986,,[309],,
Deron Williams,3,2010–2012,,[310],,
Leo Barnhorst,2,1952–1953,,[311],,
Zelmo Beaty*,2,1966; 1968,Also a three-time ABA All-Star,[312],,
Carlos Boozer,2,2007–2008,Missed 2007[67] game,[313],,
Elton Brand,2,2002; 2006,Replacement selection in 2002[314],[315],,
Terrell Brandon,2,1996–1997,,[316],,
Frank Brian,2,1951–1952,,[317],,
Caron Butler,2,2007–2008,Missed 2008[21] game,[318],,
Joe Caldwell,2,1969–1970,Also a two-time ABA All-Star,[319],,
Archie Clark,2,1968; 1972,,[320],,
Terry Cummings,2,1985; 1989,,[321],,
Baron Davis,2,2002; 2004,Replacement selection in 2002[22] game,[322],,
Luol Deng†,2,2012–2013,,[323],,
John Drew,2,1976; 1980,,[324],,
Andre Drummond^,2,2016; 2018,Replacement selection in 2018[325] game,[326],,
Kevin Duckworth,2,1989; 1991,,[327],,
Walter Dukes,2,1960–1961,,[328],,
Dwight Eddleman,2,1951–1952,,[329],,
Sean Elliott,2,1993; 1996,,[330],,
Michael Finley,2,2000–2001,,[331],,
Joe Fulks*,2,1951–1952,,[332],,
Jack George,2,1956–1957,,[333],,
Manu Ginóbili*,2,2005; 2011,,[334],,
Roy Hibbert,2,2012; 2014,,[335],,
Allan Houston,2,2000–2001,,[336],,
Rod Hundley,2,1960–1961,,[337],,
Žydrūnas Ilgauskas,2,2003; 2005,,[338],,
Antawn Jamison,2,2005; 2008,,[339],,
Eddie Johnson,2,1980–1981,,[340],,
John Johnson,2,1971–1972,,[341],,
Larry Johnson,2,1993; 1995,,[342],,
Larry Kenon,2,1978–1979,Also a three-time ABA All-Star,[343],,
Don Kojis,2,1968–1969,,[344],,
Zach LaVine^,2,2021–2022,,[345],,
David Lee,2,2010; 2013,Replacement selection in 2010[80] game,[346],,
Fat Lever,2,1988; 1990,,[347],,
Rashard Lewis,2,2005; 2009,,[348],,
Jeff Malone,2,1986–1987,,[349],,
Danny Manning,2,1993–1994,,[350],,
Stephon Marbury,2,2001; 2003,,[351],,
Jack Marin,2,1972–1973,,[352],,
Brad Miller,2,2003–2004,,[353],,
Norm Nixon,2,1982; 1985,,[354],,
Joakim Noah,2,2013–2014,,[355],,
Victor Oladipo^,2,2018–2019,Missed 2019[356] game,[357],,
Jim Paxson,2,1983–1984,,[358],,
Geoff Petrie,2,1971; 1974,,[359],,
Terry Porter,2,1991; 1993,Replacement selection in 1993[22] game,[360],,
Zach Randolph§,2,2010; 2013,,[361],,
Glenn Robinson,2,2000–2001,,[362],,
Truck Robinson,2,1978; 1981,,[363],,
Red Rocha,2,1951–1952,,[364],,
Dennis Rodman*,2,1990; 1992,,[365],,
Jeff Ruland,2,1984–1985,Missed 1985[366] game,[367],,
Domantas Sabonis^,2,2020–2021,Replacement selection in 2021[368],[369],,
Fred Scolari,2,1952–1953,Missed 1953[370] game,[371],,
Ken Sears,2,1958–1959,,[372],,
Frank Selvy,2,1955; 1962,,[373],,
Paul Silas,2,1972; 1975,,[374],,
Jerry Sloan,2,1967; 1969,,[375],,
Phil Smith,2,1976–1977,,[376],,
Randy Smith,2,1976; 1978,,[377],,
Jerry Stackhouse,2,2000–2001,,[378],,
Reggie Theus,2,1981; 1983,,[379],,
Isaiah Thomas,2,2016–2017,,[380],,
Andrew Toney,2,1983–1984,,[381],,
Kelly Tripucka,2,1982; 1984,,[382],,
Kiki Vandeweghe,2,1983–1984,,[383],,
Nikola Vučević^,2,2019; 2021,,[384],,
Jimmy Walker,2,1970; 1972,,[385],,
Bill Walton*,2,1977–1978,Missed 1977[93] game,[386],,
Scott Wedman,2,1976; 1980,Missed 1980[94] game,[387],,
David West§,2,2008–2009,,[388],,
Gus Williams,2,1982–1983,,[389],,
Brian Winters,2,1976; 1978,,[390]\,,
Trae Young^,2,2020; 2022,,[391],,
Shareef Abdur-Rahim,1,2002,Replacement selection in 2002[314] game,[392],,
Alvan Adams,1,1976,,[393],,
Michael Adams,1,1992,Replacement selection in 1992[22] game,[394],,
Bam Adebayo^,1,2020,,[395],,
Danny Ainge,1,1988,,[396],,
