,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
,Aaron Gordon,DEN,26,6-8,235,Arizona,USA,2014,1,4,62,14.5,5.7,2.5,6.3,5.5%,12.5%,19.1%,59.1%,11.0%
,Aaron Henry,PHI,22,6-5,210,Michigan State,USA,Undrafted,Undrafted,Undrafted,6,0.3,0.2,0.0,-56.0,0.0%,4.8%,14.9%,20.0%,0.0%
,Aaron Holiday,PHX,25,6-0,185,UCLA,USA,2018,1,23,53,6.6,1.8,2.3,-3.1,1.8%,8.5%,18.1%,56.3%,21.8%
,Aaron Nesmith,BOS,22,6-5,215,Vanderbilt,USA,2020,1,14,45,3.4,1.7,0.4,3.6,2.9%,12.1%,16.6%,46.8%,5.7%
,Aaron Wiggins,OKC,23,6-4,190,Maryland,USA,2021,2,55,40,7.6,3.6,1.1,-6.6,3.9%,10.7%,13.6%,56.9%,7.0%
,Abdel Nader,PHX,28,6-5,225,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,2.6%,14.5%,13.9%,43.1%,6.5%
,Ade Murkey,SAC,24,6-5,200,Denver,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-33.3,0.0%,0.0%,0.0%,0.0%,0.0%
,Admiral Schofield,ORL,24,6-5,241,Tennessee,United Kingdo...,2019,2,42,29,3.2,1.9,0.6,-8.7,3.5%,13.1%,14.1%,55.8%,8.4%
,Ahmad Caver,IND,25,6-2,174,Old Dominion,USA,2019,,,1,2.0,0.0,0.0,133.3,0.0%,0.0%,50.0%,100%,0.0%
,Al Horford,BOS,35,6-9,240,Florida,Dominican Rep...,2007,1,3,59,10.3,7.6,3.3,7.9,5.4%,19.9%,15.3%,55.9%,16.2%
,Alec Burks,NYK,30,6-6,214,Colorado,USA,2011,1,12,67,11.0,4.7,2.9,0.7,2.0%,14.6%,17.0%,54.2%,15.9%
,Aleem Ford,ORL,24,6-8,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted,5,2.8,3.0,0.4,-22.1,2.8%,16.0%,14.8%,35.0%,4.3%
